Date,Close,C_EMA1,C_EMA2,S_RSI_P,C_RSI_V,C_Pos
2023-06-13,103.27,100.68677994791807,98.22753304772435,30,74.73368575848123,B_N_Y
2023-06-14,103.57,101.04719656084899,98.52824115352011,30,75.26895771870224,B_N_Y
2023-06-15,103.94,101.408809374827,98.83262699743436,30,75.91983014407249,B_N_Y
2023-06-16,104.69,101.81897049384361,99.1618494605233,30,77.17923797981706,B_N_Y
2023-06-19,105.11,102.23035996883216,99.49595672483397,30,77.85033497088384,B_N_Y
2023-06-20,105.55,102.64532449312848,99.83580318116621,30,78.53444188119863,B_N_Y
2023-06-21,105.75,103.03341672238047,100.1676068816246,30,78.84172426491546,B_N_Y
2023-06-22,104.54,103.2217429401258,100.41277669836244,30,72.35887510958867,B_N_Y
2023-06-23,103.53,103.26027566485058,100.58747608691961,30,67.56186439404317,B_N_Y
2023-06-26,104.55,103.42149337489364,100.80944063084338,30,69.66299767366147,B_N_Y
2023-06-27,105.03,103.62255906907411,101.04575048024502,30,70.59036475794831,B_N_Y
2023-06-28,105.04,103.79974100980603,101.26929204694494,30,70.60972740129226,B_N_Y
2023-06-30,105.63,104.02852544481327,101.51324267967942,30,71.74511418049971,B_N_Y
2023-07-03,106.58,104.3474622784899,101.7965820100748,30,73.45333879825613,B_N_Y
2023-07-04,106.4,104.60403126346515,102.05391673036112,30,72.59310020931538,B_N_Y
2023-07-05,107.3,104.94102938953813,102.34707574026385,30,74.15847650929183,B_N_Y
2023-07-06,108.38,105.3709029860954,102.68409475613649,30,75.86940322535189,B_N_Y
2023-07-07,108.09,105.71079168347691,102.98599351940814,30,74.49926996170612,B_N_Y
2023-07-10,107.73,105.96319374361002,103.25085085873913,30,72.81069981413282,B_N_Y
2023-07-11,108.66,106.30029571832324,103.55276021393402,30,74.363547041638,B_N_Y
2023-07-12,109.36,106.68275993754413,103.87680489533516,30,75.45506512177386,B_N_Y
2023-07-13,108.97,106.96866571980584,104.1609363086192,30,73.64779702577007,B_N_Y
2023-07-14,109.77,107.31883333479003,104.47377397209458,30,74.92238286229386,B_N_Y
2023-07-17,110.69,107.74023004187869,104.82039968453019,30,76.28684829617747,B_N_Y
2023-07-18,109.91,108.01145177882134,105.10414470672266,30,72.81220302339797,B_N_Y
2023-07-19,110.79,108.35877085795397,105.42106930897592,30,74.18451368708946,B_N_Y
2023-07-20,111.0,108.68892495941111,105.73197695407026,30,74.50223071148457,B_N_Y
2023-07-21,111.2,109.00280972107004,106.03665102644308,30,74.80769610803655,B_N_Y
2023-07-24,111.57,109.32370884728478,106.34491455262457,30,75.37234423601085,B_N_Y
2023-07-25,111.73,109.62449552133427,106.64487193796441,30,75.61682337428573,B_N_Y
2023-07-26,112.13,109.93768383623264,106.95035726127655,30,76.22715127497335,B_N_Y
2023-07-27,112.25,110.22672356267697,107.24547160586435,30,76.41039877152218,B_N_Y
2023-07-28,112.76,110.54338331479117,107.55251204848281,30,77.18364063497631,B_N_Y
2023-07-31,113.88,110.96046062799724,107.90477353229589,30,78.76495782028282,B_N_Y
2023-08-01,114.21,111.36665324341187,108.25575494801593,30,79.20426281048809,B_N_Y
2023-08-02,112.62,111.52332165342901,108.4986647071491,30,71.80058621339981,B_N_Y
2023-08-03,112.84,111.68790650690705,108.74027432405015,30,72.17290552213042,B_N_Y
2023-08-04,113.65,111.93316827198262,109.01349003487964,30,73.50526277608691,B_N_Y
2023-08-07,113.97,112.18777230923324,109.28928373505556,30,74.01375529547684,B_N_Y
2023-08-08,114.09,112.42555082880156,109.5563853678873,30,74.2057996500954,B_N_Y
2023-08-09,114.54,112.68985703182966,109.83364025410717,30,74.92468388969162,B_N_Y
2023-08-10,114.42,112.90612494339491,110.08877471023683,30,74.3530373262713,B_N_Y
2023-08-11,114.22,113.07035935241109,110.31857363667926,30,73.38765861784502,B_N_Y
2023-08-14,113.48,113.12156444070929,110.49441541979681,30,69.913230332328,B_N_Y
2023-08-16,113.61,113.18261889328852,110.66769609078305,30,70.16988556832916,B_N_Y
2023-08-17,114.06,113.29229154367961,110.8563555026313,30,71.05409297504835,B_N_Y
2023-08-18,113.71,113.34450510574028,111.01504867175665,30,69.39896711839882,B_N_Y
2023-08-21,114.25,113.45769197704584,111.19493666091441,30,70.49588346970808,B_N_Y
2023-08-22,115.52,113.71548049889327,111.43543067515424,30,72.86256308279233,B_N_Y
2023-08-23,116.58,114.07354545959699,111.72147903651789,30,74.62035627224498,B_N_Y
2023-08-24,116.24,114.34435229241129,111.97270618575851,30,73.05029276328642,B_N_Y
2023-08-25,115.91,114.54005826551192,112.19160783983219,30,71.53895759262403,B_N_Y
2023-08-28,116.78,114.82005099440578,112.44669802952087,30,73.05908417241703,B_N_Y
2023-08-29,117.42,115.14504463237678,112.72317633978385,30,74.11134270280607,B_N_Y
2023-08-30,118.57,115.57316406747472,113.0482038988784,30,75.8636972054889,B_N_Y
2023-08-31,120.81,116.22776857796494,113.4796705821012,30,78.76056594617782,B_N_Y
2023-09-01,120.72,116.78929751992386,113.88213644598848,30,78.36961386729322,B_N_Y
2023-09-04,121.97,117.4368853442672,114.33169992569493,30,79.8095754642066,B_N_Y
2023-09-05,122.6,118.0822746887333,114.79127945167389,30,80.4868546218593,B_N_Y
2023-09-06,122.81,118.67324036265641,115.23697414813729,30,80.70998404831187,B_N_Y
